,Measure,HustlerThe,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,1993.0322265625,748.871826171875,1900.6998291015625,430.4610595703125,798.1605834960938,3602.398681640625,818.25244140625,193.265625,243.6563720703125,1251.61669921875,242.9145050048828,331.3802490234375
1,2,C#min7,C#,2.0,718.1668090820312,1700.7340087890625,401.9495544433594,766.8908081054688,3443.566162109375,985.4124145507812,252.8346405029297,253.6371307373047,1334.9384765625,285.3956298828125,339.0707092285156,1911.4588623046875
2,3,Cmin7,C,4.0,1749.86572265625,499.7677917480469,842.824951171875,3160.677001953125,959.6113891601562,248.82582092285156,288.5323486328125,1487.7882080078125,313.7048645019531,365.6164245605469,1944.5069580078125,763.5834350585938
3,4,Bmin7,B,6.0,405.8854064941406,574.25927734375,2053.360107421875,840.89501953125,302.7487487792969,749.1369018554688,4001.147216796875,694.9853515625,260.7190246582031,1263.5621337890625,597.6381225585938,1842.76708984375
4,5,Dmin7,D,8.0,42534.23828125,15706.46484375,46893.03125,10838.6884765625,16920.65234375,69741.84375,20826.181640625,43779.9375,22507.3515625,108230.8046875,73315.21875,16648.947265625
5,13,G7/G,G,24.0,505.0089111328125,353.1787414550781,1125.3548583984375,625.6382446289062,749.9838256835938,3545.109375,1406.1597900390625,2067.708251953125,436.96337890625,332.2535095214844,426.3794860839844,1927.9708251953125
6,14,G,G,26.0,557.5034790039062,1032.099365234375,6713.63916015625,1086.9473876953125,224.11712646484375,593.2765502929688,517.4216918945312,2030.4598388671875,479.1246032714844,364.2412414550781,395.6467590332031,2137.01611328125
7,15,G7,G,28.0,531.365966796875,609.1018676757812,2664.319091796875,845.8684692382812,725.2036743164062,3593.626953125,1435.5299072265625,2070.538330078125,448.7832946777344,366.7990417480469,471.7254943847656,2081.151611328125
8,16,G,G,30.0,556.7385864257812,1021.4501953125,6629.36865234375,1075.2310791015625,223.99913024902344,593.4422607421875,517.6395263671875,2040.0751953125,480.244384765625,363.4381103515625,394.3338623046875,2128.8203125
9,17,Bb,Bb,32.0,63.014041900634766,125.8438720703125,625.0851440429688,171.4094696044922,226.23545837402344,946.7924194335938,358.3653869628906,910.279541015625,224.17881774902344,238.44578552246094,531.5313110351562,128.15594482421875
10,17,F,F,33.0,355.8721923828125,177.13397216796875,384.0528259277344,104.97539520263672,240.802978515625,770.5274047851562,170.2472686767578,265.7228088378906,177.48040771484375,785.76904296875,167.46246337890625,73.01478576660156
11,18,G,G,34.0,185.21282958984375,139.3147430419922,713.3463745117188,141.50123596191406,81.12593078613281,324.5453186035156,241.0232391357422,1039.0848388671875,210.3855438232422,103.90435028076172,103.7182388305664,542.8945922851562
12,18,F,F,35.0,104.30220794677734,71.75055694580078,199.03221130371094,56.1787109375,104.4605941772461,239.2819366455078,84.39295196533203,313.2117919921875,171.34523010253906,738.679931640625,140.54579162597656,53.22434616088867
13,19,F,F,36.0,216.90541076660156,68.62371063232422,35.69676971435547,33.00325393676758,163.91717529296875,478.2742614746094,109.70980834960938,124.28585815429688,119.34146118164062,633.0386352539062,116.6385498046875,45.5455207824707
14,19,Amin7,A,36.66666666666666,96.47599029541016,30.30009651184082,23.394689559936523,68.02460479736328,369.8868103027344,219.32940673828125,45.69766616821289,148.5687255859375,155.57154846191406,589.7435913085938,97.49642181396484,50.52507400512695
15,19,Dmin7,D,37.333333333333336,377.8757629394531,128.2230682373047,182.57513427734375,106.33672332763672,166.57373046875,235.4820098876953,55.4643440246582,52.74302291870117,39.4035530090332,137.34979248046875,33.78952407836914,69.8354721069336
16,20,Dmin7,D,38.0,9859.3037109375,5629.06103515625,19429.302734375,4122.0888671875,8416.234375,27958.736328125,6867.54345703125,11606.2509765625,8460.7001953125,46788.23046875,33544.49609375,5689.83544921875
17,24,Dmin7,D,46.0,1956.7607421875,750.8641967773438,1915.5926513671875,437.5810546875,800.7119140625,3601.7568359375,821.375732421875,195.1262664794922,246.40277099609375,1254.9244384765625,243.26470947265625,326.7696838378906
18,25,C#min7,C#,48.0,717.0408325195312,1700.9056396484375,408.2293395996094,768.8303833007812,3448.897216796875,986.5541381835938,252.83544921875,253.485595703125,1334.866455078125,285.42559814453125,339.4304504394531,1913.2708740234375
19,26,Cmin7,C,50.0,1750.6138916015625,499.8293762207031,843.060546875,3160.836181640625,960.1763305664062,248.95396423339844,288.4588928222656,1487.1114501953125,313.6335754394531,365.6069030761719,1944.4962158203125,763.7958374023438
20,27,Bmin7,B,52.0,405.9673767089844,574.3915405273438,2053.585693359375,840.9885864257812,302.63812255859375,749.1325073242188,4001.283447265625,695.0433959960938,260.6573486328125,1263.0557861328125,597.5843505859375,1842.8045654296875
21,28,Dmin7,D,54.0,2256.0234375,787.1962280273438,1866.9093017578125,459.2122497558594,776.7074584960938,3620.1181640625,882.634521484375,204.10546875,248.2823944091797,1243.6724853515625,259.2280578613281,427.1308898925781
22,29,C#min7,C#,56.0,754.90771484375,1700.8037109375,391.9358215332031,757.4107055664062,3440.014404296875,984.2073364257812,262.7284240722656,255.73719787597656,1332.0966796875,285.6322937011719,362.4386901855469,2061.898681640625
23,30,Cmin7,C,58.0,1748.3277587890625,500.4932556152344,846.0995483398438,3170.312744140625,960.3229370117188,248.20928955078125,293.8914489746094,1495.1766357421875,313.9564514160156,367.1686096191406,1956.1170654296875,791.9999389648438
24,31,Bmin7,B,60.0,405.648193359375,574.11181640625,2053.55126953125,840.9009399414062,302.5290222167969,745.287841796875,3980.594970703125,691.31396484375,260.35137939453125,1262.7506103515625,597.8706665039062,1843.28076171875
25,32,Dmin7,D,62.0,15985.4072265625,5089.10400390625,12879.8623046875,3027.048828125,5148.49853515625,27246.138671875,5938.99609375,1159.7569580078125,1513.7099609375,8143.17919921875,1614.4906005859375,3058.41796875
26,36,Dmin7,D,70.0,13948.8994140625,4792.30419921875,12996.4404296875,2675.059326171875,5181.71142578125,27103.841796875,5258.0380859375,1030.3695068359375,1489.36767578125,8161.423828125,1451.0928955078125,2212.862060546875
27,40,G,G,78.0,2260.572998046875,2160.979248046875,13340.0146484375,2227.33837890625,558.9647827148438,873.1445922851562,1927.0452880859375,9907.515625,1636.7991943359375,854.7584838867188,2070.566650390625,13265.1396484375
28,44,Bb,Bb,86.0,44.04767990112305,124.9057388305664,573.8724975585938,139.49864196777344,195.5706787109375,815.3969116210938,211.32603454589844,28.568580627441406,53.293827056884766,238.578369140625,541.3733520507812,106.36962127685547
29,44,F,F,87.0,527.9271850585938,140.73631286621094,104.1424331665039,75.99238586425781,267.7113342285156,1126.1553955078125,201.187255859375,51.232818603515625,88.9601821899414,466.1979675292969,94.26859283447266,90.61336517333984
30,45,G,G,88.0,166.70799255371094,137.67933654785156,694.982177734375,132.56210327148438,73.4116439819336,279.3877258300781,138.0067596435547,427.905517578125,85.5207290649414,84.27670288085938,105.7699966430664,575.9981079101562
31,45,F,F,89.0,535.79296875,135.41062927246094,91.58175659179688,63.22927474975586,243.8800048828125,1025.758544921875,198.80511474609375,89.00594329833984,88.58350372314453,429.6223449707031,83.70245361328125,119.4483642578125
32,46,F,F,90.0,116.0154037475586,35.090511322021484,18.659976959228516,20.96131706237793,76.42893981933594,230.30169677734375,49.41585159301758,13.365777015686035,23.71500587463379,104.68850708007812,23.353620529174805,26.689096450805664
33,46,Amin7,A,90.5,78.92423248291016,37.26316833496094,28.49638557434082,70.90474700927734,245.4769744873047,133.63287353515625,59.05742263793945,158.7685089111328,123.47991180419922,381.3639831542969,84.88330841064453,38.17660903930664
34,46,Dmin7,D,91.0,33.64104080200195,16.883258819580078,11.148049354553223,21.355783462524414,95.73601531982422,75.2826919555664,22.020051956176758,56.820465087890625,37.78267288208008,104.5372085571289,19.745912551879883,11.650330543518066
35,46,F,F,91.5,156.48362731933594,69.7887954711914,76.28104400634766,28.114770889282227,131.74314880371094,250.10643005371094,53.41398620605469,24.73248291015625,32.70735549926758,152.0558624267578,29.986330032348633,33.414371490478516
36,47,Dmin7,D,92.0,7234.12158203125,3182.605712890625,9264.3544921875,2131.17041015625,4849.34912109375,20798.990234375,4049.436279296875,824.8753051757812,994.9833984375,5140.87744140625,967.93017578125,1251.5908203125
37,50,Emin7,E,98.0,32.977596282958984,36.75394821166992,157.12841796875,102.9012680053711,244.1632537841797,60.43674087524414,33.1818733215332,112.81143188476562,28.550710678100586,20.462678909301758,26.37822914123535,125.84566497802734
38,50,Dmin7,D,98.5,133.2667999267578,51.71122741699219,84.90711212158203,67.53225708007812,211.6310577392578,277.0572814941406,85.3329849243164,62.610931396484375,39.16615676879883,121.04278564453125,36.89072036743164,79.54776763916016
39,50,A7,A,99.0,109.04485321044922,171.13134765625,90.47855377197266,68.69448852539062,202.0441436767578,145.34632873535156,76.00318145751953,191.78501892089844,111.33895111083984,168.4333038330078,47.53083801269531,42.104305267333984
40,50,G7,G,99.5,1408.7513427734375,2088.442138671875,3121.727294921875,1636.30859375,3833.12890625,7143.25244140625,2695.538818359375,4747.86328125,1091.7196044921875,1266.9693603515625,919.2965698242188,4040.3642578125
