,Measure,ImNotSoSure,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G7,G,0.0,48.14080810546875,40.746826171875,98.2498550415039,67.9398193359375,93.29611206054688,305.1935119628906,206.5702667236328,375.0006408691406,100.52042388916016,23.610239028930664,45.6685905456543,135.79029846191406
1,1,Ab7,Ab,0.5,153.54319763183594,86.01962280273438,149.3629913330078,248.2926483154297,106.71941375732422,198.39210510253906,385.6018981933594,225.6173858642578,630.4351196289062,199.04185485839844,42.1039924621582,115.2730941772461
2,1,A7,A,1.0,96.43428802490234,196.88685607910156,82.36064910888672,170.8197479248047,234.041259765625,147.5401153564453,153.96688842773438,174.9524383544922,197.46826171875,600.8805541992188,169.9906768798828,56.69527816772461
3,1,Bb7,Bb,1.5,69.1393051147461,132.88919067382812,230.1051483154297,178.6512451171875,228.0312042236328,256.2158508300781,152.4753875732422,118.60294342041016,210.50787353515625,257.1806640625,720.5652465820312,209.1338348388672
4,2,Eb7,Eb,2.0,4129.77392578125,21598.037109375,12553.58984375,19133.66796875,7514.33935546875,11149.79296875,3012.804931640625,5577.76513671875,3296.702880859375,3545.664794921875,13246.1044921875,3356.463134765625
5,5,G7,G,8.0,47.19664001464844,39.168704986572266,98.8461685180664,73.26781463623047,96.7787857055664,302.2771911621094,203.4129180908203,375.0955810546875,100.35929107666016,23.661630630493164,46.8653450012207,136.60537719726562
6,5,Ab7,Ab,8.5,152.75135803222656,85.8614730834961,149.0983428955078,247.4981231689453,106.4470443725586,196.97779846191406,383.7328796386719,224.6040496826172,630.8958129882812,198.6202392578125,41.829856872558594,114.48282623291016
7,5,A7,A,9.0,96.1794204711914,196.02789306640625,81.97118377685547,170.66847229003906,233.94358825683594,146.8862762451172,153.87664794921875,174.8257293701172,196.70025634765625,601.8615112304688,172.74217224121094,56.94404983520508
8,5,Bb7,Bb,9.5,69.12554168701172,132.84478759765625,230.04942321777344,178.53297424316406,228.00889587402344,256.11798095703125,152.2519989013672,118.4549331665039,209.8209686279297,255.9084014892578,714.1865234375,207.942626953125
9,6,Eb7,Eb,10.0,4130.46240234375,21600.552734375,12554.4814453125,19134.357421875,7515.07568359375,11149.94921875,3014.37890625,5582.64404296875,3304.26953125,3550.673583984375,13265.9970703125,3359.7373046875
10,9,G7,G,16.0,47.197147369384766,39.16891860961914,98.8470230102539,73.27178192138672,96.78012084960938,302.2769775390625,203.41285705566406,375.0960693359375,100.35955810546875,23.66167449951172,46.864654541015625,136.6059112548828
11,9,Ab7,Ab,16.5,152.7519989013672,85.86219024658203,149.0978546142578,247.4938201904297,106.445556640625,196.97789001464844,383.7330017089844,224.6049346923828,630.8988037109375,198.6216278076172,41.830501556396484,114.48348236083984
12,9,A7,A,17.0,96.1795654296875,196.02752685546875,81.9704360961914,170.66754150390625,233.9438934326172,146.88755798339844,153.87741088867188,174.8244171142578,196.7001953125,601.8614501953125,172.74192810058594,56.94424057006836
13,9,Bb7,Bb,17.5,69.12521362304688,132.84500122070312,230.0501251220703,178.5335235595703,228.00877380371094,256.1183166503906,152.25148010253906,118.45577239990234,209.8213348388672,255.9077911376953,714.18701171875,207.9436492919922
14,10,Eb7,Eb,18.0,4130.46728515625,21600.5,12554.4501953125,19134.38671875,7515.078125,11149.9453125,3014.380859375,5582.634765625,3304.258544921875,3550.679443359375,13266.0537109375,3359.735595703125
15,13,G7,G,24.0,47.19671630859375,39.16825485229492,98.84647369384766,73.27145385742188,96.77941131591797,302.27728271484375,203.41368103027344,375.0966796875,100.3591537475586,23.661834716796875,46.86526107788086,136.6053466796875
16,13,Ab7,Ab,24.5,152.75144958496094,85.86206817626953,149.09808349609375,247.49522399902344,106.44628143310547,196.9786376953125,383.7340393066406,224.6049041748047,630.896728515625,198.6206512451172,41.830047607421875,114.48238372802734
17,13,A7,A,25.0,96.17963409423828,196.02684020996094,81.97016143798828,170.6674041748047,233.94264221191406,146.88595581054688,153.8768768310547,174.82579040527344,196.7007293701172,601.8626098632812,172.7421417236328,56.94371032714844
18,13,Bb7,Bb,25.5,69.12561798095703,132.8452911376953,230.05035400390625,178.53321838378906,228.00921630859375,256.11865234375,152.2516326904297,118.45548248291016,209.8221893310547,255.90843200683594,714.1853637695312,207.94342041015625
19,14,Eb7,Eb,26.0,4130.18115234375,21600.212890625,12553.76171875,19132.560546875,7514.78271484375,11149.7431640625,3013.9013671875,5580.587890625,3298.0849609375,3549.373046875,13265.8544921875,3359.553466796875
20,17,G7,G,32.0,47.1966552734375,39.16865158081055,98.84612274169922,73.26847839355469,96.77871704101562,302.27642822265625,203.412353515625,375.0946350097656,100.359130859375,23.661590576171875,46.865203857421875,136.60508728027344
21,17,Ab7,Ab,32.5,152.7512664794922,85.86209869384766,149.0990447998047,247.49778747558594,106.44649505615234,196.97776794433594,383.7334899902344,224.60414123535156,630.8949584960938,198.619384765625,41.83012771606445,114.4823989868164
22,17,A7,A,33.0,96.17993927001953,196.02777099609375,81.9710464477539,170.6684112548828,233.9435577392578,146.8867645263672,153.87721252441406,174.8258819580078,196.7001953125,601.8607788085938,172.74176025390625,56.943912506103516
23,17,Bb7,Bb,33.5,69.12551879882812,132.84512329101562,230.050048828125,178.53367614746094,228.00865173339844,256.11859130859375,152.2519073486328,118.45572662353516,209.8212127685547,255.9091339111328,714.18603515625,207.9435577392578
24,18,Eb7,Eb,34.0,4130.46533203125,21600.556640625,12554.4404296875,19134.357421875,7515.09521484375,11149.953125,3014.3818359375,5582.62255859375,3304.265625,3550.677978515625,13266.0205078125,3359.731689453125
25,21,G7,G,40.0,45.5328254699707,38.849395751953125,109.75933837890625,70.28153228759766,92.38292694091797,269.1042175292969,165.32127380371094,342.6671447753906,87.24004364013672,25.65666961669922,46.65409851074219,136.86056518554688
26,21,Ab7,Ab,40.5,145.29742431640625,63.25181579589844,92.10840606689453,197.43824768066406,93.41018676757812,181.29676818847656,329.0616149902344,135.39634704589844,362.7967834472656,94.41641998291016,30.487016677856445,104.82040405273438
27,21,A7,A,41.0,83.04280853271484,185.2603302001953,72.13508605957031,158.31712341308594,250.58851623535156,141.56016540527344,135.53013610839844,149.19705200195312,110.4564437866211,359.796875,94.99530029296875,48.73641586303711
28,21,Bb7,Bb,41.5,63.1571044921875,123.18631744384766,234.77882385253906,178.4915008544922,210.87841796875,221.55580139160156,159.218994140625,316.2181091308594,200.3621063232422,88.0426254272461,129.78897094726562,60.34190368652344
29,22,Eb7,Eb,42.0,154.4876251220703,697.0534057617188,550.3533935546875,625.0184936523438,341.8568115234375,461.110107421875,148.3672637939453,369.4830627441406,161.8056640625,175.02288818359375,510.4881286621094,143.77598571777344
30,22,Gb7,Gb,43.0,648.6419067382812,2956.348876953125,958.3225708007812,2124.11572265625,4917.06787109375,2583.390380859375,2268.892333984375,615.470703125,533.36181640625,713.216552734375,2750.594482421875,631.0550537109375
31,24,F7,F,46.0,168.7025146484375,46.81915283203125,49.34675216674805,262.6994323730469,141.40362548828125,135.59483337402344,54.28438949584961,38.38485336303711,37.389339447021484,101.79315948486328,35.92814636230469,39.93981170654297
32,24,Bb7,Bb,46.66666666666666,79.20659637451172,58.407596588134766,132.94638061523438,183.7744903564453,96.73770141601562,202.1964111328125,69.6312026977539,46.78518295288086,100.87545776367188,65.21922302246094,93.23352813720703,39.46824645996094
33,24,Eb7,Eb,47.33333333333334,591.1270141601562,2550.814697265625,2037.4368896484375,3825.064453125,1156.434814453125,2260.1513671875,696.9849243164062,1918.9033203125,813.65087890625,636.8677978515625,2614.243408203125,619.9627685546875
34,26,Eb7,Eb,50.0,63.787445068359375,358.21923828125,190.51959228515625,487.8992614746094,97.62181854248047,41.533573150634766,47.408939361572266,262.36810302734375,55.51998519897461,77.27643585205078,358.05029296875,82.7615737915039
35,26,Dbmin7,Db,51.0,27.8656005859375,53.92929458618164,45.93147659301758,144.15625,90.66201782226562,34.240943908691406,12.290986061096191,26.892364501953125,35.11552047729492,12.79458236694336,22.3830509185791,36.19927215576172
36,27,Gb7,Gb,52.0,120.58621978759766,468.45654296875,115.17675018310547,341.3872985839844,951.5274047851562,202.2346954345703,36.92920684814453,67.86490631103516,203.5830535888672,62.3564453125,90.5917739868164,235.05860900878906
37,28,F7,F,54.0,376.247314453125,138.18296813964844,115.04586029052734,611.5103149414062,459.0928955078125,299.4949035644531,97.58334350585938,77.62796020507812,72.3176498413086,217.0697479248047,67.81462860107422,81.25132751464844
38,28,Bb7,Bb,55.0,85.6904067993164,95.1832504272461,367.7743835449219,206.4335174560547,205.83226013183594,689.4382934570312,155.4516143798828,46.635040283203125,198.58872985839844,160.70606994628906,320.8564453125,92.56018829345703
39,29,Db7(#9),Db,56.0,1289.593994140625,1520.8836669921875,1137.2645263671875,3478.572509765625,8748.7724609375,5616.88525390625,1433.7720947265625,1357.25341796875,4221.41064453125,1037.12255859375,1091.4207763671875,4393.80419921875
40,31,D7(#9),D,60.0,2992.7333984375,818.2275390625,820.5608520507812,1258.4588623046875,2927.073486328125,7506.82177734375,3796.568603515625,932.1582641601562,766.2422485351562,1766.83544921875,500.9027099609375,704.8803100585938
41,33,Eb7(#9),Eb,64.0,693.7305297851562,3437.423828125,2158.221923828125,2693.186279296875,698.1257934570312,2032.5103759765625,6229.951171875,3400.746337890625,827.1283569335938,871.08154296875,2609.65966796875,581.4425048828125
42,35,E7(#9),E,68.0,242.18772888183594,262.44464111328125,1298.5657958984375,1391.3187255859375,1071.4659423828125,220.7744140625,389.5596008300781,1117.3201904296875,970.7879028320312,293.18304443359375,352.6903381347656,1475.6314697265625
43,36,G7,G,70.0,46.34765625,40.105037689208984,108.93444061279297,70.009765625,91.48104858398438,270.9129943847656,162.76507568359375,345.3974304199219,90.16535186767578,25.133108139038086,43.81065368652344,135.94337463378906
44,36,Ab7,Ab,70.5,145.6969451904297,61.383243560791016,91.75240325927734,198.78118896484375,94.1197280883789,183.64892578125,333.8370056152344,138.3706817626953,362.242919921875,95.4971694946289,31.905744552612305,106.42699432373047
45,36,A7,A,71.0,83.22298431396484,186.3930206298828,72.5909194946289,156.22775268554688,246.41261291503906,141.86195373535156,136.36380004882812,151.55722045898438,111.35562896728516,360.3608703613281,93.12667083740234,49.13934326171875
46,36,Bb7,Bb,71.5,1185.6873779296875,2560.337158203125,5426.99853515625,3204.5458984375,4435.6630859375,6993.89404296875,2602.076416015625,1901.9725341796875,3054.950927734375,2858.437744140625,9715.4228515625,1954.2327880859375
