,Measure,OnTheSunnySideOfTheStreet,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmaj7,C,0.0,38.4155387878418,34.57086181640625,181.0370635986328,96.88848114013672,419.4424133300781,78.30303192138672,49.13862991333008,41.08220291137695,77.14842224121094,20.607088088989258,13.680521965026855,61.6269645690918
1,2,E7,E,2.0,104.78005981445312,38.40720748901367,200.4946746826172,151.4815673828125,516.4329223632812,98.97667694091797,450.2767333984375,3278.682861328125,527.2759399414062,26.921388626098633,24.353309631347656,110.41161346435547
2,3,F6,F,4.0,29.005006790161133,19.987262725830078,77.63325500488281,217.71144104003906,882.468017578125,168.23118591308594,12.081497192382812,34.83422088623047,110.54776000976562,37.087772369384766,21.327678680419922,76.9393081665039
3,4,G7,G,6.0,22.202177047729492,5.227639675140381,8.271444320678711,4.931905746459961,34.7429313659668,137.28306579589844,26.64664649963379,6.481884002685547,137.68768310546875,896.6116333007812,119.16837310791016,6.231069087982178
4,4,G#dim7,G#,7.0,80.59941101074219,51.12215805053711,175.73638916015625,128.30398559570312,200.77227783203125,660.3825073242188,212.3822479248047,271.4720458984375,84.09867858886719,41.58422088623047,79.48882293701172,355.4917297363281
5,5,Amin7,A,8.0,154.7706756591797,343.244384765625,2002.939453125,503.5321044921875,283.4449768066406,1344.2425537109375,266.9294128417969,107.87881469726562,287.4026794433594,123.6482162475586,144.69471740722656,611.3771362304688
6,6,D7,D,10.0,548.6754150390625,241.06690979003906,815.4650268554688,253.68138122558594,466.9912109375,158.49171447753906,99.33890533447266,249.04795837402344,67.30439758300781,30.24932861328125,36.80775833129883,181.57460021972656
7,7,Dmin7,D,12.0,22.81597900390625,9.3751220703125,27.358041763305664,12.388049125671387,11.146185874938965,26.999204635620117,65.4006118774414,31.193435668945312,95.29547119140625,27.80413818359375,3.6607348918914795,8.466059684753418
8,7,G7,G,13.0,495.4327697753906,161.00535583496094,321.56689453125,84.36255645751953,211.75636291503906,687.3184204101562,152.91941833496094,43.71354293823242,231.699462890625,1580.58203125,246.77464294433594,99.43279266357422
9,8,Cmaj7,C,14.0,96.23849487304688,68.7629623413086,278.2608337402344,151.25291442871094,278.77935791015625,711.9658813476562,255.45281982421875,279.7735595703125,108.4378662109375,94.06815338134766,92.5167236328125,376.2273254394531
10,8,G7,G,15.0,418.1919250488281,120.168701171875,176.35333251953125,164.09815979003906,725.5205078125,280.6413879394531,174.7352752685547,575.6522216796875,123.23961639404297,43.67417907714844,147.61871337890625,711.89404296875
11,9,Dmin7,D,16.0,45.73960876464844,34.29167175292969,115.67350006103516,81.09294128417969,165.42742919921875,309.3736267089844,115.75865936279297,138.83216857910156,66.85550689697266,33.18424987792969,40.81708908081055,155.17979431152344
12,9,G7,G,16.666666666666668,176.1664581298828,125.96041107177734,423.194091796875,86.62003326416016,108.78162384033203,225.54241943359375,69.7748794555664,56.80503463745117,34.5768928527832,92.7969741821289,33.02873992919922,69.3733139038086
13,9,Cmaj7,C,17.333333333333332,101.2898941040039,38.5577507019043,149.1618194580078,31.910696029663086,50.11402893066406,175.96746826171875,26.972366333007812,7.289539813995361,57.364009857177734,398.1636962890625,84.39744567871094,42.02760696411133
14,10,Bb9,Bb,18.0,48.60841751098633,30.162858963012695,92.561767578125,71.1063461303711,147.21348571777344,339.4381408691406,110.86852264404297,124.95941162109375,59.29963684082031,48.59536361694336,52.1043701171875,197.15232849121094
15,10,Amin7,A,18.666666666666668,460.2220458984375,214.2361602783203,221.69154357910156,124.76058197021484,545.9176635742188,270.5648498535156,93.23456573486328,206.4821014404297,151.0289306640625,89.10425567626953,132.23338317871094,283.0019226074219
16,10,Ab7,Ab,19.33333333333333,75.81549835205078,20.436735153198242,60.33969497680664,44.064422607421875,134.52793884277344,183.66278076171875,40.61618423461914,52.528079986572266,58.569488525390625,34.90494918823242,65.1771240234375,53.84933090209961
17,11,Gmin7,G,20.0,2550.101806640625,680.9533081054688,527.2886352539062,1598.1357421875,2557.976318359375,1161.904052734375,1986.326171875,1630.0234375,1151.125244140625,811.9094848632812,295.0818176269531,625.0106201171875
18,12,C7,C,22.0,132.9036407470703,180.90423583984375,846.9403686523438,280.2831115722656,291.1961975097656,847.1859741210938,215.8347625732422,106.25968170166016,70.22322845458984,109.8246841430664,41.24348068237305,58.226470947265625
19,13,Fmaj7,F,24.0,490.5222473144531,97.10527801513672,57.950984954833984,125.68077850341797,440.7746276855469,122.47708129882812,50.35606002807617,163.7230224609375,49.050533294677734,28.93683624267578,71.3978500366211,102.3521957397461
20,14,F6,F,26.0,157.1131134033203,58.1320915222168,200.2957763671875,151.87982177734375,436.4997253417969,301.150146484375,468.77490234375,3113.942626953125,495.1963806152344,44.76482009887695,27.660110473632812,68.07007598876953
21,15,Amin7,A,28.0,422.99951171875,72.32280731201172,39.99190139770508,35.62583923339844,129.5286407470703,431.476806640625,83.26966094970703,132.8303680419922,44.73115539550781,60.63442611694336,22.140928268432617,71.32268524169922
22,16,D7,D,30.0,99.28546905517578,53.798091888427734,191.68359375,139.39743041992188,410.781982421875,142.2987060546875,519.8804321289062,3286.296630859375,519.4259033203125,39.608089447021484,30.18495750427246,53.91721725463867
23,17,G7,G,32.0,26.349515914916992,20.541927337646484,29.55354118347168,13.041111946105957,64.02350616455078,36.393096923828125,59.958805084228516,22.40196990966797,197.48289489746094,1357.603271484375,207.51438903808594,10.325235366821289
24,17,Dmin7,D,33.0,87.9657211303711,89.19577026367188,414.6431579589844,144.4868927001953,158.92555236816406,691.1288452148438,230.4727783203125,276.4956359863281,88.16049194335938,129.56004333496094,112.00762176513672,411.403564453125
25,18,G7,G,34.0,2063.70947265625,717.7140502929688,1631.5355224609375,457.252197265625,1250.4114990234375,3883.922607421875,948.0765991210938,258.8215026855469,338.59246826171875,1300.8875732421875,282.1768798828125,548.126708984375
26,19,Cmaj7,C,36.0,85.56616973876953,64.44371032714844,331.7399597167969,133.74778747558594,476.216552734375,527.4365844726562,150.1306915283203,62.80190658569336,87.9935302734375,47.9522705078125,51.6182975769043,231.9166717529297
27,20,E7,E,38.0,187.7845458984375,189.2014617919922,1015.7522583007812,297.6045837402344,535.7789916992188,150.09043884277344,474.5697326660156,3317.590087890625,542.5316162109375,42.23818588256836,26.173828125,104.38265991210938
28,21,F6,F,40.0,41.316680908203125,24.332799911499023,101.29589080810547,221.9754638671875,884.85205078125,189.82118225097656,15.772784233093262,36.976966857910156,110.064453125,38.3333740234375,26.951011657714844,112.65823364257812
29,22,G7,G,42.0,22.01462745666504,4.839447498321533,6.482599258422852,4.77209997177124,34.80166244506836,137.50733947753906,26.402441024780273,6.408387660980225,137.9953155517578,899.586669921875,119.86682891845703,7.649887561798096
30,22,G#dim7,G#,43.0,80.66706085205078,51.03440475463867,175.0297393798828,128.02137756347656,200.7232666015625,660.7319946289062,213.03062438964844,271.4724426269531,84.05236053466797,41.49164962768555,79.6529312133789,356.5171813964844
31,23,Amin7,A,44.0,238.2490692138672,472.126708984375,2637.048828125,965.23583984375,527.1831665039062,2215.450927734375,477.6526794433594,199.9766387939453,913.32763671875,329.9979553222656,299.8813781738281,1217.3287353515625
32,24,D7,D,46.0,549.159912109375,198.60260009765625,537.7649536132812,214.3570098876953,464.0417175292969,173.3613739013672,105.00943756103516,249.50059509277344,67.90199279785156,28.5189266204834,38.41469192504883,193.9922332763672
33,25,Dmin7,D,48.0,22.237070083618164,9.681435585021973,27.558897018432617,12.724688529968262,9.75902271270752,19.37906265258789,64.98334503173828,31.14537239074707,94.8340835571289,27.84130096435547,3.9059982299804688,8.232913970947266
34,25,G7,G,49.0,501.2271728515625,160.8454132080078,322.6835632324219,85.39298248291016,209.6201629638672,676.4307250976562,151.72567749023438,43.52273178100586,231.4424285888672,1580.58251953125,246.32545471191406,104.47994995117188
35,26,Cmaj7,C,50.0,96.83463287353516,68.87027740478516,277.9947814941406,151.04469299316406,279.1441955566406,712.7391967773438,255.30926513671875,279.7792053222656,108.22601318359375,93.9670181274414,93.40691375732422,380.8079528808594
36,26,G7,G,51.0,5869.06884765625,1444.26806640625,2034.8321533203125,1672.97412109375,6922.54931640625,4360.23779296875,1788.2501220703125,3954.743408203125,949.6819458007812,514.229248046875,1275.0416259765625,6607.3046875
