,Measure,UhHuh,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,235.29132080078125,433.8370056152344,2023.00341796875,472.5159912109375,649.2194213867188,3088.781494140625,800.0173950195312,281.7510681152344,1423.3870849609375,1365.9500732421875,5657.14306640625,907.7551879882812
1,2,Eb7,Eb,2.0,362.6219787597656,1938.80078125,1026.0755615234375,3118.531982421875,634.9080810546875,266.13916015625,284.3181457519531,1522.9066162109375,351.4171447753906,353.693359375,1915.3519287109375,438.5032653808594
2,3,Bb7,Bb,4.0,243.2191925048828,498.1097412109375,2102.476318359375,555.9088745117188,703.3982543945312,3130.0615234375,799.8870239257812,300.03570556640625,1417.4442138671875,1487.9737548828125,6454.59765625,1001.230712890625
3,4,Eb7,Eb,6.0,362.9136047363281,1939.6502685546875,1033.18994140625,3159.509765625,641.7211303710938,266.2663879394531,285.3476867675781,1530.8101806640625,352.9399108886719,353.8489074707031,1911.5655517578125,437.2275695800781
4,5,Bb7,Bb,8.0,243.22047424316406,498.1070556640625,2102.500244140625,555.9983520507812,703.4314575195312,3130.072265625,799.883056640625,300.0285339355469,1417.4266357421875,1487.9661865234375,6454.544921875,1001.222900390625
5,6,Eb7,Eb,10.0,362.9114990234375,1939.6400146484375,1033.1895751953125,3159.510498046875,641.7220458984375,266.2660217285156,285.34906005859375,1530.8135986328125,352.937255859375,353.8481140136719,1911.5582275390625,437.2245178222656
6,7,Bb7,Bb,12.0,86.04934692382812,177.04173278808594,639.6471557617188,181.6930694580078,238.09942626953125,903.8973999023438,258.8467102050781,107.58281707763672,482.6029968261719,488.8400573730469,1969.02294921875,330.89007568359375
7,7,Ab9,Ab,13.0,531.7692260742188,160.18434143066406,307.3877868652344,755.616943359375,283.77008056640625,514.8633422851562,1122.9071044921875,421.7998962402344,564.337158203125,213.84971618652344,613.8832397460938,212.1905975341797
8,8,Gb9,Gb,14.0,304.2658386230469,605.8759765625,196.12220764160156,494.3926696777344,1116.265380859375,656.3168334960938,708.1646118164062,220.8509063720703,465.115478515625,258.1097412109375,640.4833374023438,177.7349395751953
9,8,F7,F,15.0,608.6974487304688,232.0709686279297,242.9920196533203,1157.102783203125,890.1824340820312,503.0789794921875,104.7337875366211,125.04920196533203,211.31126403808594,518.9191284179688,155.253662109375,163.97857666015625
10,9,Bb7,Bb,16.0,651.0858154296875,591.2979736328125,2164.845947265625,1359.6173095703125,1057.6224365234375,3658.322509765625,952.5774536132812,323.1468200683594,1410.2286376953125,1354.2562255859375,5548.73095703125,962.7362670898438
11,10,Ebmin7,Eb,18.0,1227.9561767578125,6500.81982421875,2882.626220703125,9400.5927734375,1811.6903076171875,2519.701416015625,9982.7919921875,1799.3594970703125,635.2744140625,2365.828857421875,15396.43359375,2343.94873046875
12,12,Bbmin7,Bb,22.0,512.8164672851562,1711.2432861328125,425.4077453613281,294.0570373535156,678.3217163085938,3260.393310546875,640.294189453125,262.3415832519531,1370.896484375,1006.1137084960938,3928.916015625,682.3490600585938
13,13,Bb7,Bb,24.0,81.96537780761719,149.85726928710938,597.6726684570312,168.57081604003906,220.66229248046875,842.9533081054688,245.0548553466797,103.2685546875,474.8774108886719,427.5172119140625,1438.7037353515625,234.83587646484375
14,13,Bb7,Bb,25.0,80.96519470214844,156.89244079589844,677.0520629882812,174.8543701171875,202.5025177001953,789.745849609375,231.51934814453125,100.05221557617188,470.4271545410156,310.7262268066406,571.9298095703125,123.14710235595703
15,14,Ebmin7,Eb,26.0,1121.3009033203125,6644.95849609375,3376.367919921875,9642.9912109375,2019.498046875,4317.52587890625,10280.2822265625,1843.5504150390625,799.9286499023438,2456.4921875,15572.9111328125,2350.02587890625
16,16,F7,F,30.0,11441.9296875,3834.5283203125,3759.5068359375,18432.009765625,8016.16796875,7764.771484375,1670.9107666015625,1853.78466796875,2705.0791015625,8925.9755859375,15578.2412109375,4316.953125
17,19,Bb7,Bb,36.0,243.20362854003906,439.2355041503906,2028.1785888671875,483.370849609375,662.9164428710938,3124.3271484375,807.25390625,285.6160583496094,1418.7325439453125,1360.54736328125,5663.06494140625,910.696044921875
18,20,Eb7,Eb,38.0,367.7249450683594,1935.2244873046875,1028.3201904296875,3127.784912109375,636.9968872070312,266.3198547363281,284.99432373046875,1526.5919189453125,351.7413024902344,353.794189453125,1914.4002685546875,440.103515625
19,21,Bb7,Bb,40.0,243.69178771972656,497.1379699707031,2102.06201171875,556.7911987304688,703.2904663085938,3125.174560546875,798.8688354492188,300.6579895019531,1417.2852783203125,1487.3385009765625,6454.599609375,1001.4489135742188
20,22,Eb7,Eb,42.0,362.2964782714844,1938.7181396484375,1032.7122802734375,3159.828125,642.4767456054688,266.7356262207031,285.43475341796875,1530.03173828125,352.905517578125,353.6466369628906,1911.2115478515625,437.6676025390625
21,23,Bb7,Bb,44.0,242.657470703125,498.038818359375,2102.530517578125,556.1992797851562,703.3850708007812,3130.3232421875,799.9956665039062,300.0773010253906,1417.3040771484375,1487.4459228515625,6454.37890625,1001.074951171875
22,24,Eb7,Eb,46.0,362.8878479003906,1939.6685791015625,1033.2940673828125,3159.4970703125,641.7763061523438,266.1583557128906,285.2698059082031,1530.2445068359375,352.7853088378906,353.8632507324219,1911.71484375,437.0600280761719
23,25,Bb7,Bb,48.0,86.07943725585938,177.0564422607422,639.66357421875,181.68751525878906,238.0744171142578,903.8058471679688,258.8272705078125,107.58026885986328,482.6164245605469,488.9256286621094,1969.0413818359375,330.88739013671875
24,25,Ab9,Ab,49.0,532.0031127929688,160.24285888671875,307.3864440917969,755.6376953125,283.72271728515625,514.7986450195312,1122.916015625,421.7685241699219,564.3426513671875,213.86265563964844,613.8858032226562,212.22169494628906
25,26,Gb9,Gb,50.0,304.31170654296875,605.8838500976562,196.11810302734375,494.391845703125,1116.360595703125,656.2630004882812,708.0695190429688,220.8898162841797,465.1203308105469,258.0942077636719,640.4954223632812,177.74122619628906
26,26,F7,F,51.0,8972.7412109375,2930.364990234375,2915.013916015625,15050.83203125,10276.037109375,7109.11962890625,1997.05224609375,1454.0118408203125,1888.3187255859375,5498.43798828125,1477.3956298828125,1871.2471923828125
27,29,Ab9,Ab,56.0,24.004995346069336,16.859642028808594,29.848831176757812,26.603914260864258,33.5058479309082,147.82688903808594,50.142120361328125,7.854450225830078,20.197904586791992,635.4580688476562,4499.92724609375,649.9691772460938
28,30,Gb9,Gb,58.0,303.8573913574219,611.964111328125,193.68678283691406,508.5050964355469,1092.2154541015625,595.830322265625,709.2556762695312,220.04954528808594,463.8050537109375,260.23529052734375,641.1768188476562,176.7483367919922
29,30,F7,F,59.0,612.4501342773438,232.48963928222656,224.603515625,1157.7672119140625,904.31640625,473.0763854980469,100.91027069091797,121.3418197631836,215.44097900390625,526.1119995117188,156.63494873046875,166.86399841308594
30,31,Bb7,Bb,60.0,215.0771484375,235.15142822265625,651.3297729492188,453.2475280761719,355.6728210449219,1048.718017578125,304.5840759277344,117.90335845947266,479.46337890625,465.9070739746094,1844.2479248046875,334.714599609375
31,31,Ab,Ab,61.0,549.27783203125,159.3343963623047,243.02247619628906,751.6298217773438,296.39599609375,255.18714904785156,90.51558685302734,235.1394805908203,531.498291015625,121.39470672607422,51.53828430175781,129.9711151123047
32,32,Gb,Gb,62.0,177.024169921875,576.2053833007812,174.32713317871094,275.0107116699219,96.09075927734375,260.3466796875,1030.0052490234375,193.7333221435547,59.714778900146484,93.53290557861328,493.0377197265625,96.31106567382812
33,32,F7,F,63.0,274.0642395019531,100.06167602539062,100.9347915649414,359.8192443847656,188.951171875,192.68316650390625,137.59413146972656,43.268733978271484,31.075056076049805,78.86834716796875,41.67414474487305,54.05996322631836
34,33,Bb7,Bb,64.0,945.400634765625,1220.16357421875,4911.4833984375,1571.6409912109375,1560.64111328125,7266.34326171875,1958.0078125,656.130859375,3110.095458984375,3226.043212890625,13600.671875,2115.62451171875
